series id,id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes
MDUR,MDUR,2023-04-08,2023-04-08, Maryland,1976-01-01,2023-02-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-03-27 16:09:13-05:00,25,
LAUR,LAUR,2023-04-08,2023-04-08, Louisiana,1976-01-01,2023-02-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-03-27 16:09:12-05:00,25,
NEUR,NEUR,2023-04-08,2023-04-08, Nebraska,1976-01-01,2023-02-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-03-27 16:09:14-05:00,21,
KSUR,KSUR,2023-04-08,2023-04-08, Kansas,1976-01-01,2023-02-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-03-27 16:09:16-05:00,20,
CTUR,CTUR,2023-04-08,2023-04-08, Connecticut,1976-01-01,2023-02-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-03-27 16:09:15-05:00,23,
IDUR,IDUR,2023-04-08,2023-04-08, Idaho,1976-01-01,2023-02-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-03-27 16:09:14-05:00,21,
SDUR,SDUR,2023-04-08,2023-04-08, South Dakota,1976-01-01,2023-02-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-03-27 16:08:06-05:00,19,
PRUR,PRUR,2023-04-08,2023-04-08, Puerto Rico,1976-01-01,2023-02-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-03-27 16:08:06-05:00,9,
WYUR,WYUR,2023-04-08,2023-04-08, Wyoming,1976-01-01,2023-02-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-03-27 16:08:05-05:00,22,
DCUR,DCUR,2023-04-08,2023-04-08, the District of Columbia,1976-01-01,2023-02-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-03-27 16:09:15-05:00,21,
MEUR,MEUR,2023-04-08,2023-04-08, Maine,1976-01-01,2023-02-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-03-27 16:09:13-05:00,20,
MTUR,MTUR,2023-04-08,2023-04-08, Montana,1976-01-01,2023-02-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-03-27 16:09:13-05:00,18,
HIUR,HIUR,2023-04-08,2023-04-08, Hawaii,1976-01-01,2023-02-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-03-27 16:09:14-05:00,19,
RIUR,RIUR,2023-04-08,2023-04-08, Rhode Island,1976-01-01,2023-02-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-03-27 16:08:05-05:00,20,
DEUR,DEUR,2023-04-08,2023-04-08, Delaware,1976-01-01,2023-02-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-03-27 16:09:16-05:00,19,
NHUR,NHUR,2023-04-08,2023-04-08, New Hampshire,1976-01-01,2023-02-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-03-27 16:09:17-05:00,16,
MSUR,MSUR,2023-04-08,2023-04-08, Mississippi,1976-01-01,2023-02-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-03-27 16:09:13-05:00,18,
VTUR,VTUR,2023-04-08,2023-04-08, Vermont,1976-01-01,2023-02-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2023-03-27 16:08:06-05:00,15,
